region	S_AFR	singletons_AFR	pi_AFR	tajimasd_AFR	meanrsq_AFR	S_EUR	singletons_EUR	pi_EUR	tajimasd_EUR	meanrsq_EUR	S_EAS	singletons_EAS	pi_EAS	tajimasd_EAS	meanrsq_EAS	S_SAS	singletons_SAS	pi_SAS	tajimasd_SAS	meanrsq_SAS	Fst_AFR_EUR	Fst_AFR_EAS	Fst_AFR_SAS	Fst_EUR_EAS	Fst_EUR_SAS	Fst_EAS_SAS
61	0.012701306593740504	0.0019446976602856274	0.0023027536624841694	0.10769614769617969	0.13707619415989286	0.013309024612579764	0.00425402613187481	0.00284637413251354	1.303452910818392	0.15336046753164995	0.010088119112731693	0.001701610452749924	0.002927979656012638	1.904511495244722	0.2510900737814561	0.014402917046490429	0.0043755697356426615	0.0028613331858130153	1.1931846569402522	0.1322008973748884	0.1130275764790041	0.1725992177695104	0.173473361400692	0.0163262520845877	0.0305130497193978	0.0062814172458298
62	0.014491874848411352	0.002304147465437788	0.0033940871849053133	1.0754095134868913	0.1493370483866364	0.013642978413776376	0.0032136793596895465	0.0030903548075442754	1.876452960936832	0.14051096883172948	0.009822944457918991	0.0013339801115692456	0.003504903067536863	3.4830219027569487	0.3412487781232162	0.014673781227261703	0.0038200339558573855	0.0032760232626272527	1.9154137139595833	0.13045755499280873	0.1429849260994418	0.0313936994164641	0.0952284218370235	0.0522593100170771	0.0	0.0272919036129906
63	0.00740043900909376	0.001317027281279398	0.001106206702856354	-0.3652869341505245	0.06630184959226086	0.007525870178739417	0.003323925995609909	0.0011778073173173743	0.46147830163442144	0.08001930121098508	0.004640953276889307	0.001191596111633741	0.0009669555755285232	0.4774487654413968	0.17477215251242886	0.00940733772342427	0.0038256506741925368	0.0009287663617968659	-0.6262264879129946	0.048729293925075134	0.0824596901226615	0.060010102009791	0.0483992643224484	0.0726544050251171	0.1150918444192016	0.0861445262326091
64	0.007538569424964937	0.0018934081346423561	0.0009367261008285929	-0.64536355460653	0.05337735821302238	0.007538569424964937	0.0036465638148667602	0.0008512713481399441	-0.35415047886124734	0.032816122370532344	0.004488078541374474	0.0014726507713884993	0.0007049171228389475	-0.15489477997748713	0.10860575694623276	0.010448807854137447	0.004277699859747546	0.00087687522335485	-0.8348905037723853	0.02124540876336898	0.0529715534417272	0.0	0.0302211889579874	0.0810482852784746	0.0174300512279456	0.0674249185105484
65	0.0061346362649294245	0.0013572204125950054	0.0007503731573243305	-0.9464850968404492	0.04660618760487349	0.007111834961997829	0.003094462540716612	0.0002521325891728849	-1.813575203031396	0.01633144139827432	0.0030401737242128123	0.0009229098805646037	0.0003728094331408312	-0.5954967520720401	0.10910017750038442	0.00998914223669924	0.0043973941368078175	0.0003578621313532112	-1.9472482883166409	0.01003253780650034	0.328506179032458	0.1028281548118635	0.2496222046030028	0.0530992243059317	0.0076748468034598	0.0402832943734433
66	0.00802662490211433	0.0026755416340381102	0.0009722985278399498	-0.788771701833378	0.060182415606489965	0.008483424693291568	0.004633255024797703	0.0007769678502723134	-0.5102666467683311	0.04540665245512746	0.0035891412163925867	0.0013051422605063951	0.0006963699051557831	0.4028628549282492	0.18515588461571061	0.00809188201513965	0.003523884103367267	0.0007073390904664144	-0.6391555566247392	0.03475840877176368	0.0670959953621312	0.201947721281902	0.1248104673417704	0.035780932909405	0.0226431628544865	0.0087606208846729
67	0.01016304112788133	0.002075855209099165	0.0013429315958649827	-0.663704789861184	0.07480997708739189	0.011200968732430913	0.0049301561216105174	0.0005364913768013793	-1.5740436551209973	0.06263041405762199	0.0039787224841067335	0.0006919517363663884	0.0005674157715979429	-0.34228034035308974	0.1563174712243373	0.008908878605717251	0.0036327466159235392	0.0005421978097365034	-1.3037907398150557	0.0331130103085487	0.1733870127265611	0.0558918764304163	0.1619174789173561	0.0101947398848781	0.015798500874451	0.0083647586110186
68	0.011765446080281867	0.0030829243739776014	0.001598451222195842	-0.4554510632296911	0.07026346782289651	0.011513778784446961	0.004655844972945766	0.0009837806029426787	-0.8660439379473045	0.06452550176620007	0.005473763684409211	0.0011954196552158047	0.0005752353582543815	-1.008547188933025	0.22125299367695972	0.010947527368818422	0.00421542720523468	0.0007491499682296321	-1.2078509259796788	0.07470089236304726	0.0845513755487801	0.0247507153552833	0.1425968179122284	0.0242420213376902	0.0435183038715474	0.0181627649852934
69	0.013903259182617693	0.0024573202276254526	0.0016321324701554798	-0.8860060212901598	0.07723285508981145	0.01325659596482152	0.004009311950336265	0.0018239029806083062	0.14269901475791794	0.052672295303126476	0.005819968960165546	0.001875323331608898	0.0013238062371111919	0.9206725051004904	0.23844356789539733	0.013773926539058458	0.005237972064148991	0.0015992344547461873	-0.2798806856196768	0.04752760751693985	0.1282075635902098	0.0544136726779274	0.0955481227364436	0.0574684359525111	0.0824724380918831	0.0122702141497634
70	0.009714767333540346	0.0019518254003460054	0.0012014571506178187	-0.7946252672418116	0.08236428314080224	0.010690680033713347	0.0031938961096570997	0.0017537741322888537	0.6380291463302932	0.08289644264234446	0.005544958523710243	0.0007984740274142749	0.0011659661020592506	0.6608181861560587	0.26291290579790816	0.013352260125094264	0.004524686155347558	0.0015254218700540606	-0.3220457521563352	0.05229449893588153	0.1462679059200938	0.1347431175550259	0.1039047334084483	0.1271569506555099	0.0221264679858145	0.0308674076479217
